"id"|"iucn_code"|"iucn_habitat_description"|"hl1"|"hl2"|"hl3"|"esa_cci_code"|"esa_cci_description"
1|"1"|"Forest - Boreal"|1|0|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
2|"1.1"|"Forest - Boreal"|1|1|0|61|"Tree cover, broadleaved, deciduous, closed (>40%)"
3|"1.1"|"Forest - Boreal"|1|1|0|62|"Tree cover, broadleaved, deciduous, open (15-40%)"
4|"1.1"|"Forest - Boreal"|1|1|0|70|"Tree cover, needleleaved, evergreen, closed to open (>15%)"
5|"1.1"|"Forest - Boreal"|1|1|0|71|"Tree cover, needleleaved, evergreen, closed (>40%)"
6|"1.1"|"Forest - Boreal"|1|1|0|72|"Tree cover, needleleaved, evergreen, open (15-40%)"
7|"1.1"|"Forest - Boreal"|1|1|0|80|"Tree cover, needleleaved, deciduous, closed to open (>15%)"
8|"1.1"|"Forest - Boreal"|1|1|0|81|"Tree cover, needleleaved, deciduous, closed (>40%)"
9|"1.1"|"Forest - Boreal"|1|1|0|82|"Tree cover, needleleaved, deciduous, open (15-40%)"
10|"1.1"|"Forest - Boreal"|1|1|0|90|"Tree cover, mixed leaf type (broadleaved and needleleaved)"
11|"1.2"|"Forest - Subarctic"|1|2|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
12|"1.2"|"Forest - Subarctic"|1|2|0|62|"Tree cover, broadleaved, deciduous, open (15-40%)"
13|"1.2"|"Forest - Subarctic"|1|2|0|70|"Tree cover, needleleaved, evergreen, closed to open (>15%)"
14|"1.2"|"Forest - Subarctic"|1|2|0|72|"Tree cover, needleleaved, evergreen, open (15-40%)"
15|"1.2"|"Forest - Subarctic"|1|2|0|80|"Tree cover, needleleaved, deciduous, closed to open (>15%)"
16|"1.2"|"Forest - Subarctic"|1|2|0|82|"Tree cover, needleleaved, deciduous, open (15-40%)"
17|"1.3"|"Forest - Subantarctic"|1|3|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
18|"1.3"|"Forest - Subantarctic"|1|3|0|62|"Tree cover, broadleaved, deciduous, open (15-40%)"
19|"1.3"|"Forest - Subantarctic"|1|3|0|70|"Tree cover, needleleaved, evergreen, closed to open (>15%)"
20|"1.3"|"Forest - Subantarctic"|1|3|0|72|"Tree cover, needleleaved, evergreen, open (15-40%)"
21|"1.3"|"Forest - Subantarctic"|1|3|0|80|"Tree cover, needleleaved, deciduous, closed to open (>15%)"
22|"1.3"|"Forest - Subantarctic"|1|3|0|82|"Tree cover, needleleaved, deciduous, open (15-40%)"
23|"1.4"|"Forest - Temperate"|1|4|0|50|"Tree cover, broadleaved, evergreen, closed to open (>15%)"
24|"1.4"|"Forest - Temperate"|1|4|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
25|"1.4"|"Forest - Temperate"|1|4|0|61|"Tree cover, broadleaved, deciduous, closed (>40%)"
26|"1.4"|"Forest - Temperate"|1|4|0|62|"Tree cover, broadleaved, deciduous, open (15-40%)"
27|"1.4"|"Forest - Temperate"|1|4|0|70|"Tree cover, needleleaved, evergreen, closed to open (>15%)"
28|"1.4"|"Forest - Temperate"|1|4|0|71|"Tree cover, needleleaved, evergreen, closed (>40%)"
29|"1.4"|"Forest - Temperate"|1|4|0|72|"Tree cover, needleleaved, evergreen, open (15-40%)"
30|"1.4"|"Forest - Temperate"|1|4|0|80|"Tree cover, needleleaved, deciduous, closed to open (>15%)"
31|"1.4"|"Forest - Temperate"|1|4|0|81|"Tree cover, needleleaved, deciduous, closed (>40%)"
32|"1.4"|"Forest - Temperate"|1|4|0|82|"Tree cover, needleleaved, deciduous, open (15-40%)"
33|"1.4"|"Forest - Temperate"|1|4|0|90|"Tree cover, mixed leaf type (broadleaved and needleleaved)"
34|"1.5"|"Forest - Subtropical/Tropical Dry"|1|5|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
35|"1.5"|"Forest - Subtropical/Tropical Dry"|1|5|0|62|"Tree cover, broadleaved, deciduous, open (15-40%)"
36|"1.5"|"Forest - Subtropical/Tropical Dry"|1|5|0|70|"Tree cover, needleleaved, evergreen, closed to open (>15%)"
37|"1.5"|"Forest - Subtropical/Tropical Dry"|1|5|0|72|"Tree cover, needleleaved, evergreen, open (15-40%)"
38|"1.6"|"Forest - Subtropical/Tropical Moist Lowland"|1|6|0|50|"Tree cover, broadleaved, evergreen, closed to open (>15%)"
39|"1.6"|"Forest - Subtropical/Tropical Moist Lowland"|1|6|0|60|"Tree cover, broadleaved, deciduous, closed to open (>15%)"
40|"1.6"|"Forest - Subtropical/Tropical Moist Lowland"|1|6|0|61|"Tree cover, broadleaved, deciduous, closed (>40%)"
41|"1.7"|"Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide"|1|7|0|170|"Tree cover, flooded, saline water Level"
42|"1.7"|"Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide"|1|7|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water Level"
43|"1.8"|"Forest - Subtropical/Tropical Swamp"|1|8|0|160|"Tree cover, flooded, fresh or brakish water"
44|"1.9"|"Forest - Subtropical/Tropical Moist Montane"|1|9|0|50|"Tree cover, broadleaved, evergreen, closed to open (>15%)"
45|"1.9"|"Forest - Subtropical/Tropical Moist Montane"|1|9|0|71|"Tree cover, needleleaved, evergreen, closed (>40%)"
46|"1.9"|"Forest - Subtropical/Tropical Moist Montane"|1|9|0|90|"Tree cover, mixed leaf type (broadleaved and needleleaved)"
47|"2.1"|"Savanna - Dry"|2|1|0|110|"Mosaic herbaceous cover (>50%) / tree and shrub (<50%)"
48|"2.1"|"Savanna - Dry"|2|1|0|120|"Shrubland"
49|"2.1"|"Savanna - Dry"|2|1|0|122|"Deciduous shrubland"
50|"2.1"|"Savanna - Dry"|2|1|0|130|"Grassland"
52|"2.2"|"Savanna - Moist"|2|2|0|100|"Mosaic tree and shrub (>50%) / herbaceous cover (<50%)"
53|"2.2"|"Savanna - Moist"|2|2|0|110|"Mosaic herbaceous cover (>50%) / tree and shrub (<50%)"
51|"2.2"|"Savanna - Moist"|2|2|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
54|"3.1"|"Shrubland - Subarctic"|3|1|0|120|"Shrubland"
55|"3.1"|"Shrubland - Subarctic"|3|1|0|121|"Evergreen shrubland"
56|"3.1"|"Shrubland - Subarctic"|3|1|0|122|"Deciduous shrubland"
57|"3.2"|"Shrubland - Subantarctic"|3|2|0|120|"Shrubland"
58|"3.2"|"Shrubland - Subantarctic"|3|2|0|121|"Evergreen shrubland"
59|"3.2"|"Shrubland - Subantarctic"|3|2|0|122|"Deciduous shrubland"
60|"3.3"|"Shrubland - Boreal"|3|3|0|120|"Shrubland"
61|"3.3"|"Shrubland - Boreal"|3|3|0|121|"Evergreen shrubland"
62|"3.3"|"Shrubland - Boreal"|3|3|0|122|"Deciduous shrubland"
63|"3.4"|"Shrubland - Temperate"|3|4|0|120|"Shrubland"
64|"3.4"|"Shrubland - Temperate"|3|4|0|121|"Evergreen shrubland"
65|"3.4"|"Shrubland - Temperate"|3|4|0|122|"Deciduous shrubland"
66|"3.5"|"Shrubland - Subtropical/Tropical Dry"|3|5|0|120|"Shrubland"
67|"3.5"|"Shrubland - Subtropical/Tropical Dry"|3|5|0|121|"Evergreen shrubland"
68|"3.5"|"Shrubland - Subtropical/Tropical Dry"|3|5|0|122|"Deciduous shrubland"
69|"3.6"|"Shrubland - Subtropical/Tropical Moist"|3|6|0|120|"Shrubland"
70|"3.6"|"Shrubland - Subtropical/Tropical Moist"|3|6|0|121|"Evergreen shrubland"
71|"3.7"|"Shrubland - Subtropical/Tropical High Altitude"|3|7|0|120|"Shrubland"
72|"3.7"|"Shrubland - Subtropical/Tropical High Altitude"|3|7|0|121|"Evergreen shrubland"
73|"3.7"|"Shrubland - Subtropical/Tropical High Altitude"|3|7|0|122|"Deciduous shrubland"
74|"3.8"|"Shrubland - Mediterranean-type Shrubby Vegetation"|3|8|0|120|"Shrubland"
75|"3.8"|"Shrubland - Mediterranean-type Shrubby Vegetation"|3|8|0|121|"Evergreen shrubland"
76|"3.8"|"Shrubland - Mediterranean-type Shrubby Vegetation"|3|8|0|122|"Deciduous shrubland"
77|"4.1"|"Grassland - Tundra"|4|1|0|130|"Grassland"
78|"4.1"|"Grassland - Tundra"|4|1|0|140|"Lichens and mosses"
79|"4.1"|"Grassland - Tundra"|4|1|0|150|"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)"
80|"4.1"|"Grassland - Tundra"|4|1|0|152|"Sparse shrub (<15%)"
81|"4.1"|"Grassland - Tundra"|4|1|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
82|"4.2"|"Grassland - Subarctic"|4|2|0|130|"Grassland"
83|"4.2"|"Grassland - Subarctic"|4|2|0|140|"Lichens and mosses"
84|"4.2"|"Grassland - Subarctic"|4|2|0|150|"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)"
85|"4.2"|"Grassland - Subarctic"|4|2|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
86|"4.3"|"Grassland - Subantarctic"|4|3|0|130|"Grassland"
87|"4.4"|"Grassland - Temperate"|4|4|0|130|"Grassland"
88|"4.5"|"Grassland - Subtropical/Tropical Dry"|4|5|0|130|"Grassland"
89|"4.6"|"Grassland - Subtropical/Tropical Seasonally Wet/Flooded"|4|6|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
90|"4.7"|"Grassland - Subtropical/Tropical High Altitude"|4|7|0|130|"Grassland"
91|"5.1"|"Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)"|5|1|0|210|"Water bodies"
101|"5.2"|"Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks"|5|2|0|210|"Water bodies"
102|"5.3"|"Wetlands (inland) - Shrub Dominated Wetlands"|5|3|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
103|"5.4"|"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands"|5|4|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
104|"5.5"|"Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)"|5|5|0|210|"Water bodies"
105|"5.6"|"Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)"|5|6|0|210|"Water bodies"
106|"5.7"|"Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)"|5|7|0|210|"Water bodies"
107|"5.8"|"Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)"|5|8|0|210|"Water bodies"
108|"5.9"|"Wetlands (inland) - Freshwater Springs and Oases"|5|9|0|210|"Water bodies"
92|"5.10"|"Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt)"|5|10|0|210|"Water bodies"
93|"5.11"|"Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt)"|5|11|0|210|"Water bodies"
94|"5.12"|"Wetlands (inland) - Geothermal Wetlands"|5|12|0|210|"Water bodies"
95|"5.13"|"Wetlands (inland) - Permanent Inland Deltas"|5|13|0|210|"Water bodies"
96|"5.14"|"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes"|5|14|0|210|"Water bodies"
97|"5.15"|"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats"|5|15|0|210|"Water bodies"
98|"5.16"|"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools"|5|16|0|210|"Water bodies"
99|"5.17"|"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools"|5|17|0|210|"Water bodies"
100|"5.18"|"Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)"|5|18|0|0|"NA"
109|"6"|"Rocky areas (eg. inland cliffs, mountain peaks)"|6|0|0|200|"Bare areas"
110|"6"|"Rocky areas (eg. inland cliffs, mountain peaks)"|6|0|0|201|"Consolidated bare areas"
111|"7.1"|"Caves and Subterranean Habitats (non-aquatic) - Caves"|7|1|0|0|"NA"
112|"7.2"|"Caves and Subterranean Habitats (non-aquatic) - Other Subterranean"|7|2|0|0|"NA"
116|"8.1"|"Desert - Hot"|8|1|0|150|"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)"
117|"8.1"|"Desert - Hot"|8|1|0|153|"Sparse herbaceous cover (<15%)"
113|"8.1"|"Desert - Hot"|8|1|0|200|"Bare areas"
114|"8.1"|"Desert - Hot"|8|1|0|201|"Consolidated bare areas"
115|"8.1"|"Desert - Hot"|8|1|0|202|"Unconsolidated bare areas"
121|"8.2"|"Desert - Temperate"|8|2|0|150|"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)"
122|"8.2"|"Desert - Temperate"|8|2|0|153|"Sparse herbaceous cover (<15%)"
118|"8.2"|"Desert - Temperate"|8|2|0|200|"Bare areas"
119|"8.2"|"Desert - Temperate"|8|2|0|201|"Consolidated bare areas"
120|"8.2"|"Desert - Temperate"|8|2|0|202|"Unconsolidated bare areas"
127|"8.3"|"Desert - Cold"|8|3|0|140|"Lichens and mosses"
126|"8.3"|"Desert - Cold"|8|3|0|150|"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)"
123|"8.3"|"Desert - Cold"|8|3|0|200|"Bare areas"
124|"8.3"|"Desert - Cold"|8|3|0|201|"Consolidated bare areas"
125|"8.3"|"Desert - Cold"|8|3|0|202|"Unconsolidated bare areas"
128|"9.1"|"Marine Neritic - Estuaries"|9|1|0|210|"Water bodies"
129|"9.1"|"Marine Neritic - Pelagic"|9|1|0|210|"Water bodies"
130|"9.2"|"Marine Neritic - Subtidal Rock and Rocky Reefs"|9|2|0|210|"Water bodies"
131|"9.3"|"Marine Neritic - Subtidal Loose Rock/pebble/gravel"|9|3|0|210|"Water bodies"
132|"9.4"|"Marine Neritic - Subtidal Sandy"|9|4|0|210|"Water bodies"
133|"9.5"|"Marine Neritic - Subtidal Sandy-Mud"|9|5|0|210|"Water bodies"
134|"9.6"|"Marine Neritic - Subtidal Muddy"|9|6|0|210|"Water bodies"
135|"9.7"|"Marine Neritic - Macroalgal/Kelp"|9|7|0|210|"Water bodies"
175|"9.8.1"|"Outer Reef Channel"|9|8|1|210|"Water bodies"
176|"9.8.3"|"Foreslope (Outer Reef Slope)"|9|8|3|210|"Water bodies"
177|"9.8.4"|"Lagoon"|9|8|4|210|"Water bodies"
178|"9.8.5"|"Inter-Reef Soft Substrate"|9|8|5|210|"Water bodies"
179|"9.8.6"|"Inter-Reef Rubble Substrate"|9|8|6|210|"Water bodies"
136|"9.9"|"Marine Neritic - Seagrass (Submerged)"|9|9|0|210|"Water bodies"
137|"10.1"|"Marine Oceanic - Epipelagic (0-200m)"|10|1|0|210|"Water bodies"
138|"10.2"|"Marine Oceanic - Mesopelagic (200-1000m)"|10|2|0|210|"Water bodies"
139|"10.3"|"Marine Oceanic - Bathypelagic (1000-4000m)"|10|3|0|210|"Water bodies"
140|"12.1"|"Marine Intertidal - Rocky Shoreline"|12|1|0|201|"Consolidated bare areas"
141|"12.2"|"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"|12|2|0|202|"Unconsolidated bare areas"
142|"12.3"|"Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches"|12|3|0|202|"Unconsolidated bare areas"
143|"12.4"|"Marine Intertidal - Mud Flats and Salt Flats"|12|4|0|202|"Unconsolidated bare areas"
144|"12.5"|"Marine Intertidal - Salt Marshes (Emergent Grasses)"|12|5|0|180|"Shrub or herbaceous cover, flooded, fresh/saline/brakish water"
145|"12.6"|"Marine Intertidal - Tidepools"|12|6|0|210|"Water bodies"
146|"12.7"|"Marine Intertidal - Mangrove Submerged Roots"|12|7|0|210|"Water bodies"
147|"13.1"|"Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands"|13|1|0|201|"Consolidated bare areas"
148|"13.2"|"Marine Coastal/supratidal - Coastal Caves/Karst"|13|2|0|201|"Consolidated bare areas"
149|"13.3"|"Marine Coastal/Supratidal - Coastal Sand Dunes"|13|3|0|202|"Unconsolidated bare areas"
150|"13.4"|"Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes"|13|4|0|201|"Consolidated bare areas"
151|"13.5"|"Marine Coastal/Supratidal - Coastal Freshwater Lakes"|13|5|0|201|"Consolidated bare areas"
152|"14.1"|"Artificial/Terrestrial - Arable Land"|14|1|0|10|"Cropland, rainfed"
153|"14.1"|"Artificial/Terrestrial - Arable Land"|14|1|0|11|"Cropland, rainfed, Herbaceous cover"
154|"14.1"|"Artificial/Terrestrial - Arable Land"|14|1|0|12|"Cropland, rainfed, Tree or shrub cover"
155|"14.1"|"Artificial/Terrestrial - Arable Land"|14|1|0|20|"Cropland, irrigated or post-flooding"
156|"14.2"|"Artificial/Terrestrial - Pastureland"|14|2|0|130|"Grassland"
157|"14.3"|"Artificial/Terrestrial - Plantations"|14|3|0|12|"Cropland, rainfed, Tree or shrub cover"
158|"14.4"|"Artificial/Terrestrial - Rural Gardens"|14|4|0|30|"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)"
159|"14.4"|"Artificial/Terrestrial - Rural Gardens"|14|4|0|40|"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)"
160|"14.5"|"Artificial/Terrestrial - Urban Areas"|14|5|0|190|"Urban areas"
161|"14.6"|"Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former"|14|6|0|30|"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)"
163|"15.1"|"Artificial/Aquatic - Karst and Other Subterranean Hydrological Systems (human-made)"|15|1|0|0|"NA"
162|"15.1"|"Artificial/Aquatic - Water Storage Areas (over 8ha)"|15|1|0|210|"Water bodies"
164|"15.2"|"Artificial/Aquatic - Ponds (below 8ha)"|15|2|0|210|"Water bodies"
165|"15.3"|"Artificial/Aquatic - Aquaculture Ponds"|15|3|0|210|"Water bodies"
166|"15.4"|"Artificial/Aquatic - Salt Exploitation Sites"|15|4|0|202|"Unconsolidated bare areas"
167|"15.5"|"Artificial/Aquatic - Excavations (open)"|15|5|0|202|"Unconsolidated bare areas"
168|"15.6"|"Artificial/Aquatic - Wastewater Treatment Areas"|15|6|0|190|"Urban areas"
169|"15.7"|"Artificial/Aquatic - Irrigated Land (includes irrigation channels)"|15|7|0|20|"Cropland, irrigated or post-flooding"
170|"15.8"|"Artificial/Aquatic - Seasonally Flooded Agricultural Land"|15|8|0|20|"Cropland, irrigated or post-flooding"
171|"15.9"|"Artificial/Aquatic - Canals and Drainage Channels, Ditches"|15|9|0|210|"Water bodies"
172|"16"|"Introduced vegetation"|16|0|0|0|"NA"
173|"17"|"Other"|17|0|0|0|"NA"
174|"18"|"Unknown"|18|0|0|0|"NA"
